Sample,Activity,Temp,Rep,Bio_rep,Well,Abs
Standard,0,NA,1,NA,A1,0.3194
Standard,0.003125,NA,1,NA,B1,0.2458
Standard,0.00625,NA,1,NA,C1,0.2929
Standard,0.0125,NA,1,NA,D1,0.2116
Standard,0.025,NA,1,NA,E1,0.1667
Standard,0.05,NA,1,NA,F1,0.1236
Standard,0,NA,2,NA,A2,0.3266
Standard,0.003125,NA,2,NA,B2,0.241
Standard,0.00625,NA,2,NA,C2,0.2525
Standard,0.0125,NA,2,NA,D2,0.2406
Standard,0.025,NA,2,NA,E2,0.1924
Standard,0.05,NA,2,NA,F2,0.1309
BO,NA,25,1,1,A3,0.254
CH,NA,25,1,1,B3,0.2386
VT10,NA,25,1,1,C3,0.2298
VT12,NA,25,1,1,D3,0.192
BO,NA,36,1,1,E3,0.1135
CH,NA,36,1,1,F3,0.2065
VT10,NA,36,1,1,G3,0.2247
VT12,NA,36,1,1,H3,0.2063
BO,NA,25,2,1,A4,0.2325
CH,NA,25,2,1,B4,0.2155
VT10,NA,25,2,1,C4,0.2308
VT12,NA,25,2,1,D4,0.194
BO,NA,36,2,1,E4,0.1299
CH,NA,36,2,1,F4,0.2034
VT10,NA,36,2,1,G4,0.2253
VT12,NA,36,2,1,H4,0.2046
VT10,NA,25,1,2,A5,0.1739
VT12,NA,25,1,2,B5,0.1963
BO,NA,25,1,2,C5,0.2084
CH,NA,25,1,2,D5,0.2443
VT10,NA,36,1,2,E5,0.2267
VT12,NA,36,1,2,F5,0.2164
BO,NA,36,1,2,G5,0.1539
CH,NA,36,1,2,H5,0.2072
VT10,NA,25,2,2,A6,0.1785
VT12,NA,25,2,2,B6,0.2156
BO,NA,25,2,2,C6,0.2043
CH,NA,25,2,2,D6,0.2407
VT10,NA,36,2,2,E6,0.2431
VT12,NA,36,2,2,F6,0.2067
BO,NA,36,2,2,G6,0.1588
CH,NA,36,2,2,H6,0.1952
BO,NA,25,1,3,A7,0.2453
CH,NA,25,1,3,B7,0.229
VT10,NA,25,1,3,C7,0.1892
VT12,NA,25,1,3,D7,0.2146
VT12,NA,36,1,3,E7,0.2079
VT10,NA,36,1,3,F7,0.2281
CH,NA,36,1,3,G7,0.1469
BO,NA,36,1,3,H7,0.2268
BO,NA,25,2,3,A8,0.1869
CH,NA,25,2,3,B8,0.2099
VT10,NA,25,2,3,C8,0.1788
VT12,NA,25,2,3,D8,0.1772
VT12,NA,36,2,3,E8,0.1335
VT10,NA,36,2,3,F8,0.1665
CH,NA,36,2,3,G8,0.1426
BO,NA,36,2,3,H8,0.1485
